id,start_km,end_km,len_km,avg_grade,type,asym_avg_w,asym_avg_v,asym_time,gordon_avg_w,gordon_avg_v,gordon_time,time_diff
1,0.0,13.2,13.16,0.3,FLAT,198,30.8,1537,186,29.8,1588,51
2,13.2,13.5,0.32,7.0,UP,290,15.5,73,277,14.7,78,4
3,13.5,17.9,4.47,0.6,FLAT,212,30.5,527,192,29.0,555,27
4,17.9,19.3,1.37,7.4,UP,293,13.8,356,271,13.0,379,23
5,19.3,20.6,1.27,-5.8,DOWN,76,44.4,103,84,44.4,103,0
6,20.6,36.3,15.75,0.8,FLAT,215,29.3,1932,196,28.0,2026,94
7,36.3,43.0,6.70,5.8,UP,283,16.7,1447,275,16.2,1489,41
8,43.0,56.5,13.44,-5.5,DOWN,19,49.8,972,47,50.4,960,-12
9,56.5,63.6,7.11,-1.5,FLAT,137,37.2,688,149,37.4,683,-5
10,63.6,67.7,4.07,10.2,UP,305,11.1,1323,266,10.1,1455,132
11,67.7,75.4,7.74,-1.3,FLAT,160,34.4,808,160,34.0,820,11
16,75.4,76.0,0.60,8.6,UP,243,16.9,127,216,15.9,135,8
17,76.0,78.0,2.01,-5.7,DOWN,44,47.2,153,60,47.6,152,-1
20,78.0,82.3,4.31,-0.1,FLAT,190,31.2,496,185,30.7,505,8
21,82.3,87.4,5.03,6.0,UP,282,16.8,1077,264,15.8,1143,66
22,87.4,91.0,3.66,-8.3,DOWN,16,52.1,252,36,52.8,249,-3
23,91.0,93.5,2.52,-0.9,FLAT,173,32.4,280,179,32.5,279,0
24,93.5,94.9,1.39,8.5,UP,289,13.9,358,267,12.9,386,27
25,94.9,95.3,0.42,-6.8,DOWN,20,49.2,31,71,50.1,30,0
26,95.3,96.6,1.25,-2.0,FLAT,110,40.4,111,128,41.5,108,-3
27,96.6,97.6,0.97,-5.2,DOWN,81,39.7,88,97,40.0,87,0
28,97.6,99.7,2.12,1.7,FLAT,251,24.5,312,234,23.3,328,16
29,99.7,100.1,0.42,7.6,UP,250,21.7,70,240,20.8,73,2
30,100.1,105.9,5.81,2.3,FLAT,248,23.4,892,234,22.5,928,36
31,105.9,109.0,3.09,8.9,UP,296,12.5,886,267,11.5,969,82
32,109.0,122.6,13.60,-4.8,DOWN,58,45.2,1083,79,45.9,1066,-17
37,122.6,128.4,5.78,-1.7,FLAT,133,36.4,571,144,36.7,566,-4
38,128.4,129.1,0.76,-5.3,DOWN,16,48.3,56,76,48.8,56,0
39,129.1,129.8,0.69,-2.9,FLAT,168,33.2,74,181,33.5,73,0
40,129.8,130.4,0.58,5.7,UP,263,20.8,100,254,20.4,102,1
41,130.4,131.4,1.00,1.5,FLAT,213,27.5,131,208,26.9,134,2
42,131.4,132.1,0.64,-6.5,DOWN,28,47.0,49,51,47.6,48,0
43,132.1,133.4,1.35,0.8,FLAT,232,27.1,179,212,25.8,187,8
44,133.4,134.6,1.16,5.5,UP,283,17.4,238,273,17.0,245,6
45,134.6,136.5,1.96,1.2,FLAT,217,24.3,290,210,23.6,298,8
46,136.5,137.1,0.61,-6.2,DOWN,30,51.2,43,46,51.7,42,0
47,137.1,137.7,0.54,-0.1,FLAT,231,27.2,71,216,26.5,73,2
48,137.7,138.2,0.51,5.2,UP,259,21.4,85,249,21.0,87,1
49,138.2,148.3,10.11,1.2,FLAT,227,27.9,1302,208,26.5,1372,69
50,148.3,161.1,12.76,5.6,UP,282,16.6,2758,269,16.0,2869,110
51,161.1,169.1,8.03,-4.4,DOWN,79,43.1,671,97,42.9,673,2
1769491643165,169.1,184.1,14.97,-1.0,FLAT,161,35.0,1541,155,34.3,1571,30
55,184.1,185.1,1.02,7.4,UP,280,15.8,231,265,15.1,242,11
56,185.1,186.4,1.31,-8.0,DOWN,2,57.3,82,8,57.3,82,0
57,186.4,190.8,4.38,-0.5,FLAT,171,33.6,468,164,33.0,476,8
58,190.8,191.1,0.34,-6.4,DOWN,12,50.3,24,46,50.4,24,0
59,191.1,197.3,6.18,-0.6,FLAT,161,34.8,639,159,34.4,646,7
60,197.3,197.6,0.30,-6.9,DOWN,20,44.3,24,54,44.5,24,0
61,197.6,205.1,7.50,0.3,FLAT,201,31.5,858,184,30.2,893,35
